6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
,,,,True
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,,
6.14033,35.1875,0,0,False
6.14033,35.1875,0,0,False
6.14033,35.1875,0,0,False
6.14033,35.1875,0,0,False
6.14033,34.9375,5.79448,0,False
,,,,True
6.14033,35,5.76824,0,True
,,,,True
6.12437,35,5.7528,0,True
6.11905,35,5.81455,0,True
6.11905,35,5.74766,0,True
6.14033,35,5.76824,0,True
6.12437,34.9375,5.76357,0,True
6.14565,35,5.75795,0,True
6.12969,35,5.79911,1582,True
6.12969,34.9375,5.77903,1686,True
6.13501,34.9375,5.80478,0,True
6.13501,35,5.77853,0,True
6.13501,34.9375,5.75327,0,True
6.12969,35,5.78882,0,True
6.14565,35,5.76824,0,False
6.14299,34.9375,5.80478,0,False
6.14565,34.9375,5.68631,0,False
6.12437,34.9375,5.68631,0,False
6.1164,34.9375,0.59747,0,False
